"";"municipio";"uf"
"1";"MANUEL URBANO";"AC"
"137";"SANTA ROSA";"AC"
"263";"QUEBRÂNGULO";"AL"
"525";"SENADOR TEOTÔNIO VILELA";"AL"
"844";"TRAIPÚ";"AL"
"966";"SANTO ANTONIO DO IÇÁ";"AM"
"1146";"AMAPARI";"AP"
"1471";"LARANJAL DO JARÍ";"AP"
"1990";"VITÓRIA DO JARÍ";"AP"
"2100";"ARAÇÁS";"BA"
"2252";"CAEM";"BA"
"2445";"CAMACÃ";"BA"
"2733";"GOVERNADOR LOMANTO JÚNIOR";"BA"
"2859";"ITAETÊ";"BA"
"3072";"IUIU";"BA"
"3313";"LUIS EDUARDO MAGALHÃES";"BA"
"3662";"MUQUÉM DO SÃO FRANCISCO";"BA"
"3786";"PALMAS DO MONTE ALTO";"BA"
"3896";"QUINJINGUE";"BA"
"4080";"SANTA CRUZ DE CABRÁLIA";"BA"
"4280";"SANTA TEREZINHA";"BA"
"4504";"SANTO ESTEVÃO";"BA"
"4947";"VEREDAS";"BA"
"5018";"ITAPAGÉ";"CE"
"5340";"ATÍLIO VIVACQUA";"ES"
"5640";"SANTA MARIA DO JETIBÁ";"ES"
"6052";"ANHANGÜERA";"GO"
"6235";"ÁGUA DOCE";"MA"
"6470";"ARAIÓSES";"MA"
"6612";"BELA VISTA";"MA"
"6667";"CONCEIÇÃO DO LAGO AÇU";"MA"
"6797";"GOVERNADOR EDSON LOBÃO";"MA"
"6918";"ITAPECURU-MIRIM";"MA"
"7283";"LUIS DOMINGUES DO MARANHÃO";"MA"
"7365";"OLHO D`ÁGUA DAS CUNHÃS";"MA"
"7518";"PRESIDENTE MEDICI";"MA"
"7670";"SÃO JOÃO DO CARU";"MA"
"7876";"SÃO JOÃO DO SÓTER";"MA"
"8095";"SÃO JOSÉ DOS BASILIOS";"MA"
"8196";"SÃO LUIS GONZAGA DO MARANHÃO";"MA"
"8351";"SÃO RAIMUNDO DA DOCA BEZERRA";"MA"
"8540";"SENADOR LA ROQUE";"MA"
"8643";"BRASÓPOLIS";"MG"
"9015";"OLHOS D'ÁGUA";"MG"
"9406";"PASSA VINTE";"MG"
"9490";"PINGO D'ÁGUA";"MG"
"9801";"SANTA RITA DO IBITIPOCA";"MG"
"9957";"SAPUCAÍ MIRIM";"MG"
"10102";"SEM PEIXE";"MG"
"10370";"NOVA BANDEIRANTE";"MT"
"10712";"NOVO SANTO ANTONIO";"MT"
"10838";"ELDORADO DOS CARAJÁS";"PA"
"11247";"ALGODÃO DE JANDAIRA";"PB"
"11314";"BAIA DA TRAIÇÃO";"PB"
"11418";"BARAÚNAS";"PB"
"11574";"CAMPO DE SANTANA";"PB"
"11711";"JUAREZ TAVORA";"PB"
"11776";"QUIXABÁ";"PB"
"11881";"SANTA CECILIA DE UMBUZEIRO";"PB"
"11973";"SANTARÉM";"PB"
"12092";"SÃO DOMINGOS DE POMBAL";"PB"
"12125";"SÃO JOSÉ DO BREJO CRUZ";"PB"
"12242";"BELÉM DE SÃO FRANCISCO";"PE"
"12319";"IGUARACI";"PE"
"12409";"ITAMARACÁ";"PE"
"12567";"ALAGOINHA";"PI"
"12713";"LUIS CORREIA";"PI"
"12990";"ANTONIO OLINTO";"PR"
"13078";"DIAMANTE DO OESTE";"PR"
"13337";"ITAPEJARA DO OESTE";"PR"
"13450";"MUNHOZ DE MELLO";"PR"
"13642";"SANTA CRUZ DO MONTE CASTELO";"PR"
"14251";"SANTO ANTONIO DO CAIUÁ";"PR"
"14391";"SANTO ANTONIO DO PARAÍSO";"PR"
"14505";"ARMAÇÃO DE BÚZIOS";"RJ"
"15338";"CAMPOS";"RJ"
"16536";"PARATI";"RJ"
"17206";"PATI DO ALFERES";"RJ"
"17619";"TRAJANO DE MORAIS";"RJ"
"17748";"VARRE E SAI";"RJ"
"18049";"BOA SAÚDE";"RN"
"18350";"CAMPO GRANDE";"RN"
"18628";"CERRO-CORÁ";"RN"
"18881";"FERNANDO PEDROSA";"RN"
"18976";"LUIS GOMES";"RN"
"19158";"OLHO D'ÁGUA DO BORGES";"RN"
"19271";"SÃO BENTO DO TRAIRI";"RN"
"19405";"SÃO JOSÉ DE CAMPESTRE";"RN"
"19624";"VENHA VER";"RN"
"19711";"ALTA FLORESTA DO OESTE";"RO"
"20365";"ALVORADA DO OESTE";"RO"
"20792";"ESPIGÃO DO OESTE";"RO"
"21450";"MACHADINHO DO OESTE";"RO"
"22031";"NOVA BRASILÂNDIA";"RO"
"23244";"SANTA LUZIA DO OESTE";"RO"
"23617";"SÃO FELIPE DO OESTE";"RO"
"23963";"AMAJARÍ";"RR"
"24153";"SÃO JOÃO DO BALIZA";"RR"
"24312";"SÃO LUIZ DO ANAUÁ";"RR"
"24459";"CANGUÇÚ";"RS"
"24841";"ENTRE IJUÍS";"RS"
"25004";"MAÇAMBARA";"RS"
"25238";"NOVO XINGÚ";"RS"
"25409";"PÂNTANO GRANDE";"RS"
"25664";"SANTANA DO LIVRAMENTO";"RS"
"26479";"SINIMBÚ";"RS"
"26679";"TAQUARUÇÚ DO SUL";"RS"
"26717";"GRÃO-PARÁ";"SC"
"26857";"LAURO MÜLLER";"SC"
"27149";"LUÍS ALVES";"SC"
"27307";"PRESIDENTE CASTELO BRANCO";"SC"
"27419";"SÃO CRISTÓVÃO DO SUL";"SC"
"27510";"AMPARO DO SÃO FRANCISCO";"SE"
"27576";"CANINDÉ DO SÃO FRANCISCO";"SE"
"27861";"GRACCHO CARDOSO";"SE"
"28025";"ARCO ÍRIS";"SP"
"28276";"BADY BASSIT";"SP"
"28666";"BIRITIBA MIRIM";"SP"
"29485";"EMBU";"SP"
"33229";"IPAUÇU";"SP"
"33440";"LUISIÂNIA";"SP"
"33710";"MOJI-GUACU";"SP"
"35538";"MOJI-MIRIM";"SP"
"37101";"SANTO ANTÔNIO DA POSSE";"SP"
"37999";"SUD MENUCCI";"SP"
"38231";"TARABAÍ";"SP"
"38392";"BANDEIRANTE DO TOCANTINS";"TO"
"38602";"COUTO DE MAGALHÃES";"TO"
"38875";"MONTE SANTO";"TO"
"38984";"SÃO VALÉRIO DO TOCANTINS";"TO"
